"","share_issue","share","issue","lobbyist"
"Y0000033635L","0.666666666666667-URB",0.666666666666667,"URB","Y0000033635L"
"Y0000033641L","1-TAX",1,"TAX","Y0000033641L"
"Y0000033644L","0.135814249363868-TEC",0.135814249363868,"TEC","Y0000033644L"
"Y0000033645L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000033645L"
"Y0000033649L","NaN-WEL",NA,"WEL","Y0000033649L"
"Y0000033652L","1-BUD",1,"BUD","Y0000033652L"
"Y0000033661L","NaN-WEL",NA,"WEL","Y0000033661L"
"Y0000033662L","0.595238095238095-BUD",0.595238095238095,"BUD","Y0000033662L"
"Y0000033665L","1-HCR",1,"HCR","Y0000033665L"
"Y0000033669L","0.958208692591941-BUD",0.958208692591941,"BUD","Y0000033669L"
"Y0000033671L","1-TAX",1,"TAX","Y0000033671L"
"Y0000033673L","0.161792983394481-TAX",0.161792983394481,"TAX","Y0000033673L"
"Y0000033675L","0.4-EDU",0.4,"EDU","Y0000033675L"
"Y0000033680L","1-MMM",1,"MMM","Y0000033680L"
"Y0000033685L","0.25-TEC",0.25,"TEC","Y0000033685L"
"Y0000033686L","0.412168784252318-MMM",0.412168784252318,"MMM","Y0000033686L"
"Y0000033689L","0.302631578947368-EDU",0.302631578947368,"EDU","Y0000033689L"
"Y0000033689M","0.461259079903148-BUD",0.461259079903148,"BUD","Y0000033689M"
"Y0000033697L","0.180536093287771-SMB",0.180536093287771,"SMB","Y0000033697L"
"Y0000033702L","0.0909090909090909-VET",0.0909090909090909,"VET","Y0000033702L"
"Y0000033709L","0.4-TRA",0.4,"TRA","Y0000033709L"
"Y0000033710L","0.0760013391042487-TAX",0.0760013391042487,"TAX","Y0000033710L"
"Y0000033717L","0.5-PHA",0.5,"PHA","Y0000033717L"
"Y0000033718L","0.156698290480774-TAX",0.156698290480774,"TAX","Y0000033718L"
"Y0000033723L","0.74468085106383-BUD",0.74468085106383,"BUD","Y0000033723L"
"Y0000033724L","0.310723514211886-LAW",0.310723514211886,"LAW","Y0000033724L"
"Y0000033725L","0.303442223319866-TRA",0.303442223319866,"TRA","Y0000033725L"
"Y0000033728L","0.659685863874346-IMM",0.659685863874346,"IMM","Y0000033728L"
"Y0000033730L","0.24090338770389-ENG",0.24090338770389,"ENG","Y0000033730L"
"Y0000033734L","0.266650579150579-DEF",0.266650579150579,"DEF","Y0000033734L"
"Y0000033738L","0.15812074829932-TRD",0.15812074829932,"TRD","Y0000033738L"
"Y0000033741L","0.630541871921182-SCI",0.630541871921182,"SCI","Y0000033741L"
"Y0000033743L","0.5-TAX",0.5,"TAX","Y0000033743L"
"Y0000033746L","0.0953336070500893-WEL",0.0953336070500893,"WEL","Y0000033746L"
"Y0000033747L","0.2-BUD",0.2,"BUD","Y0000033747L"
"Y0000033749L","NaN-WEL",NA,"WEL","Y0000033749L"
"Y0000033750L","0.633333333333333-FIN",0.633333333333333,"FIN","Y0000033750L"
"Y0000033751L","0.353658536585366-ENV",0.353658536585366,"ENV","Y0000033751L"
"Y0000033754L","0.6875-TRD",0.6875,"TRD","Y0000033754L"
"Y0000033759L","0.327394780016224-FIN",0.327394780016224,"FIN","Y0000033759L"
"Y0000033785L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000033785L"
"Y0000033787L","0.62-BUD",0.62,"BUD","Y0000033787L"
"Y0000033791L","0.113785266133447-TRA",0.113785266133447,"TRA","Y0000033791L"
"Y0000033792L","0.277187706061861-MMM",0.277187706061861,"MMM","Y0000033792L"
"Y0000033794L","1-MMM",1,"MMM","Y0000033794L"
"Y0000033799L","0.0701199476940125-TRA",0.0701199476940125,"TRA","Y0000033799L"
"Y0000033806L","1-BUD",1,"BUD","Y0000033806L"
"Y0000033810L","0.5-BUD",0.5,"BUD","Y0000033810L"
"Y0000033813L","1-HCR",1,"HCR","Y0000033813L"
"Y0000033819L","0.481847622294188-HCR",0.481847622294188,"HCR","Y0000033819L"
"Y0000033821L","0.141299833887043-TRD",0.141299833887043,"TRD","Y0000033821L"
"Y0000033826L","0.5-RET",0.5,"RET","Y0000033826L"
"Y0000033832L","0.210084033613445-DEF",0.210084033613445,"DEF","Y0000033832L"
"Y0000033833L","0.796320339773906-MMM",0.796320339773906,"MMM","Y0000033833L"
"Y0000033839L","0.463768115942029-EDU",0.463768115942029,"EDU","Y0000033839L"
"Y0000033840L","1-AVI",1,"AVI","Y0000033840L"
"Y0000033841L","1-RRR",1,"RRR","Y0000033841L"
"Y0000033842L","0.271786417548198-HCR",0.271786417548198,"HCR","Y0000033842L"
"Y0000033844L","1-MED",1,"MED","Y0000033844L"
"Y0000033845L","0.574468085106383-HCR",0.574468085106383,"HCR","Y0000033845L"
"Y0000033853L","0.0730514886694725-UNM",0.0730514886694725,"UNM","Y0000033853L"
"Y0000033859L","1-HOU",1,"HOU","Y0000033859L"
"Y0000033860L","0.132433156067656-TOR",0.132433156067656,"TOR","Y0000033860L"
"Y0000033861L","0.168033334926506-SCI",0.168033334926506,"SCI","Y0000033861L"
"Y0000033865L","NaN-WEL",NA,"WEL","Y0000033865L"
"Y0000033866L","0.0909090909090909-TOU",0.0909090909090909,"TOU","Y0000033866L"
"Y0000033871L","0.434782608695652-BUD",0.434782608695652,"BUD","Y0000033871L"
"Y0000033873L","0.5-PHA",0.5,"PHA","Y0000033873L"
"Y0000033879L","0.2-TAX",0.2,"TAX","Y0000033879L"
"Y0000033881L","0.2-TAX",0.2,"TAX","Y0000033881L"
"Y0000033889L","0.12835659964609-TAX",0.12835659964609,"TAX","Y0000033889L"
"Y0000033895L","0.075764107990881-TRD",0.075764107990881,"TRD","Y0000033895L"
"Y0000033897L","0.909190371991247-DEF",0.909190371991247,"DEF","Y0000033897L"
"Y0000033899L","0.0973392461197339-TRF",0.0973392461197339,"TRF","Y0000033899L"
"Y0000033902L","0.23338685770751-TAX",0.23338685770751,"TAX","Y0000033902L"
"Y0000033903L","0.883720930232558-DEF",0.883720930232558,"DEF","Y0000033903L"
"Y0000033912L","0.333333333333333-TRA",0.333333333333333,"TRA","Y0000033912L"
"Y0000033914L","0.3625-HCR",0.3625,"HCR","Y0000033914L"
"Y0000033918L","0.2-TAX",0.2,"TAX","Y0000033918L"
"Y0000033928L","0.164048102314247-IMM",0.164048102314247,"IMM","Y0000033928L"
"Y0000033929L","1-DEF",1,"DEF","Y0000033929L"
"Y0000033930L","0.166646167324588-VET",0.166646167324588,"VET","Y0000033930L"
"Y0000033933L","1-MMM",1,"MMM","Y0000033933L"
"Y0000033936L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000033936L"
"Y0000033937L","0.340435537909664-HCR",0.340435537909664,"HCR","Y0000033937L"
"Y0000033941L","NaN-WEL",NA,"WEL","Y0000033941L"
"Y0000033944L","0.0972217339652691-WEL",0.0972217339652691,"WEL","Y0000033944L"
"Y0000033948L","NaN-WEL",NA,"WEL","Y0000033948L"
"Y0000033949L","0.241185511647717-INS",0.241185511647717,"INS","Y0000033949L"
"Y0000033955L","0.460024600246002-DEF",0.460024600246002,"DEF","Y0000033955L"
"Y0000033956L","0.715686274509804-NAT",0.715686274509804,"NAT","Y0000033956L"
"Y0000033959L","0.0870998116760829-UTI",0.0870998116760829,"UTI","Y0000033959L"
"Y0000033961L","0.5-EDU",0.5,"EDU","Y0000033961L"
"Y0000033962L","NaN-WEL",NA,"WEL","Y0000033962L"
"Y0000033965L","0.180826737027265-MMM",0.180826737027265,"MMM","Y0000033965L"
"Y0000033967L","0.2-TAX",0.2,"TAX","Y0000033967L"
"Y0000033968L","0.982758620689655-LBR",0.982758620689655,"LBR","Y0000033968L"
"Y0000033977L","0.0608159342870053-WAS",0.0608159342870053,"WAS","Y0000033977L"
"Y0000033981L","0.354166666666667-TEC",0.354166666666667,"TEC","Y0000033981L"
"Y0000033982L","0.333333333333333-MED",0.333333333333333,"MED","Y0000033982L"
"Y0000033983L","1-AVI",1,"AVI","Y0000033983L"
"Y0000033985L","0.166666666666667-TAX",0.166666666666667,"TAX","Y0000033985L"
"Y0000033989L","0.2-TRA",0.2,"TRA","Y0000033989L"
"Y0000033994L","0.989664082687339-BAN",0.989664082687339,"BAN","Y0000033994L"
"Y0000033998L","0.0772846605825728-CSP",0.0772846605825728,"CSP","Y0000033998L"
"Y0000033999L","0.0966698069406895-TOR",0.0966698069406895,"TOR","Y0000033999L"
"Y0000034004L","0.183333333333333-LAW",0.183333333333333,"LAW","Y0000034004L"
"Y0000034007L","0.25-VET",0.25,"VET","Y0000034007L"
"Y0000034011L","1-HCR",1,"HCR","Y0000034011L"
"Y0000034014L","0.35874897792314-FIN",0.35874897792314,"FIN","Y0000034014L"
"Y0000034015L","0.262269624961885-TAX",0.262269624961885,"TAX","Y0000034015L"
"Y0000034017L","0.151650156367385-ENV",0.151650156367385,"ENV","Y0000034017L"
"Y0000034018L","1-HCR",1,"HCR","Y0000034018L"
"Y0000034020L","1-FOR",1,"FOR","Y0000034020L"
"Y0000034026L","0.333333333333333-SCI",0.333333333333333,"SCI","Y0000034026L"
"Y0000034031L","0.164706834390871-IMM",0.164706834390871,"IMM","Y0000034031L"
"Y0000034034L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000034034L"
"Y0000034038L","0.420091104567164-MED",0.420091104567164,"MED","Y0000034038L"
"Y0000034041L","0.25-TAX",0.25,"TAX","Y0000034041L"
"Y0000034043L","0.353191489361702-BUD",0.353191489361702,"BUD","Y0000034043L"
"Y0000034044L","0.802924457071779-HCR",0.802924457071779,"HCR","Y0000034044L"
"Y0000034052L","0.923076923076923-BUD",0.923076923076923,"BUD","Y0000034052L"
"Y0000034053L","0.5-FOR",0.5,"FOR","Y0000034053L"
"Y0000034054L","0.326340860165804-LAW",0.326340860165804,"LAW","Y0000034054L"
"Y0000034059L","0.456878067505689-BUD",0.456878067505689,"BUD","Y0000034059L"
"Y0000034064L","1-HCR",1,"HCR","Y0000034064L"
"Y0000034066L","0.111111111111111-TAX",0.111111111111111,"TAX","Y0000034066L"
"Y0000034073L","0.166666666666667-VET",0.166666666666667,"VET","Y0000034073L"
"Y0000034079L","0.666666666666667-IMM",0.666666666666667,"IMM","Y0000034079L"
"Y0000034082L","1-GOV",1,"GOV","Y0000034082L"
"Y0000034088L","0.102185840342212-HCR",0.102185840342212,"HCR","Y0000034088L"
"Y0000034092L","0.310723514211886-LAW",0.310723514211886,"LAW","Y0000034092L"
"Y0000034097L","0.666666666666667-TRD",0.666666666666667,"TRD","Y0000034097L"
"Y0000034100L","1-HCR",1,"HCR","Y0000034100L"
"Y0000034102L","0.180246931859257-ENG",0.180246931859257,"ENG","Y0000034102L"
"Y0000034107L","0.25-TAX",0.25,"TAX","Y0000034107L"
"Y0000034112L","0.288778877887789-TAX",0.288778877887789,"TAX","Y0000034112L"
"Y0000034117L","1-DEF",1,"DEF","Y0000034117L"
"Y0000034118L","1-TAX",1,"TAX","Y0000034118L"
"Y0000034127L","0.396802325581395-ECN",0.396802325581395,"ECN","Y0000034127L"
"Y0000034129L","0.619047619047619-DEF",0.619047619047619,"DEF","Y0000034129L"
"Y0000034130L","0.0972217339652691-WEL",0.0972217339652691,"WEL","Y0000034130L"
"Y0000034132L","0.69805112629714-HCR",0.69805112629714,"HCR","Y0000034132L"
"Y0000034138L","1-ENG",1,"ENG","Y0000034138L"
"Y0000034146L","0.943396226415094-DEF",0.943396226415094,"DEF","Y0000034146L"
"Y0000034148L","0.0823012822374049-TRA",0.0823012822374049,"TRA","Y0000034148L"
"Y0000034149L","0.239966216472265-PHA",0.239966216472265,"PHA","Y0000034149L"
"Y0000034153L","0.531470588235294-EDU",0.531470588235294,"EDU","Y0000034153L"
"Y0000034162L","0.25-TEC",0.25,"TEC","Y0000034162L"
"Y0000034163L","1-LBR",1,"LBR","Y0000034163L"
"Y0000034170L","0.0703416250918617-TRD",0.0703416250918617,"TRD","Y0000034170L"
"Y0000034173L","0.246047602635393-ENV",0.246047602635393,"ENV","Y0000034173L"
"Y0000034175L","NaN-WEL",NA,"WEL","Y0000034175L"
"Y0000034180L","0.5-TRD",0.5,"TRD","Y0000034180L"
"Y0000034189L","1-SMB",1,"SMB","Y0000034189L"
"Y0000034190L","0.350897736143638-TAX",0.350897736143638,"TAX","Y0000034190L"
"Y0000034197L","0.391304347826087-ECN",0.391304347826087,"ECN","Y0000034197L"
"Y0000034202L","0.0545884888311236-WEL",0.0545884888311236,"WEL","Y0000034202L"
"Y0000034204L","NaN-WEL",NA,"WEL","Y0000034204L"
"Y0000034207L","0.195488721804511-TRA",0.195488721804511,"TRA","Y0000034207L"
"Y0000034209L","0.25-MMM",0.25,"MMM","Y0000034209L"
"Y0000034210L","0.150482415188298-TAX",0.150482415188298,"TAX","Y0000034210L"
"Y0000034217L","NaN-WEL",NA,"WEL","Y0000034217L"
"Y0000034218L","0.102858683926645-TRA",0.102858683926645,"TRA","Y0000034218L"
"Y0000034226L","1-HCR",1,"HCR","Y0000034226L"
"Y0000034238L","1-BUD",1,"BUD","Y0000034238L"
"Y0000034245L","0.146248382096645-TRD",0.146248382096645,"TRD","Y0000034245L"
"Y0000034247L","0.233333333333333-VET",0.233333333333333,"VET","Y0000034247L"
"Y0000034249L","0.25-TRD",0.25,"TRD","Y0000034249L"
"Y0000034250L","0.398457583547558-IND",0.398457583547558,"IND","Y0000034250L"
"Y0000034272L","NaN-WEL",NA,"WEL","Y0000034272L"
"Y0000034274L","0.222093023255814-TAX",0.222093023255814,"TAX","Y0000034274L"
"Y0000034276L","0.628571428571429-BAN",0.628571428571429,"BAN","Y0000034276L"
"Y0000034282L","0.689956331877729-DEF",0.689956331877729,"DEF","Y0000034282L"
"Y0000034284L","1-CAW",1,"CAW","Y0000034284L"
"Y0000034285L","1-TEC",1,"TEC","Y0000034285L"
"Y0000034286L","0.189400235092799-TAX",0.189400235092799,"TAX","Y0000034286L"
"Y0000034288L","0.107362082362082-TRD",0.107362082362082,"TRD","Y0000034288L"
"Y0000034293L","0.0975831939022123-TRF",0.0975831939022123,"TRF","Y0000034293L"
"Y0000034294L","0.259259259259259-HCR",0.259259259259259,"HCR","Y0000034294L"
"Y0000034301L","1-RET",1,"RET","Y0000034301L"
"Y0000034302L","0.48502994011976-TRA",0.48502994011976,"TRA","Y0000034302L"
"Y0000034308L","0.837400652826912-AUT",0.837400652826912,"AUT","Y0000034308L"
"Y0000034309L","0.0603338495955946-TRD",0.0603338495955946,"TRD","Y0000034309L"
"Y0000034310L","0.0555555555555556-TRF",0.0555555555555556,"TRF","Y0000034310L"
"Y0000034315L","0.3-FOR",0.3,"FOR","Y0000034315L"
"Y0000034317L","1-EDU",1,"EDU","Y0000034317L"
"Y0000034324L","0.5-LAW",0.5,"LAW","Y0000034324L"
"Y0000034327L","1-MMM",1,"MMM","Y0000034327L"
"Y0000034328L","0.166666666666667-TOR",0.166666666666667,"TOR","Y0000034328L"
"Y0000034332L","0.0620480399557587-TRD",0.0620480399557587,"TRD","Y0000034332L"
"Y0000034333L","0.0701199476940125-TRA",0.0701199476940125,"TRA","Y0000034333L"
"Y0000034343L","0.88903743315508-DEF",0.88903743315508,"DEF","Y0000034343L"
"Y0000034344L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000034344L"
"Y0000034345L","0.5-FOR",0.5,"FOR","Y0000034345L"
"Y0000034347L","0.054204077155706-TRD",0.054204077155706,"TRD","Y0000034347L"
"Y0000034357L","0.358208955223881-BAN",0.358208955223881,"BAN","Y0000034357L"
"Y0000034361L","0.153023983315954-TRD",0.153023983315954,"TRD","Y0000034361L"
"Y0000034363L","NaN-WEL",NA,"WEL","Y0000034363L"
"Y0000034365L","NaN-WEL",NA,"WEL","Y0000034365L"
"Y0000034366L","1-ENG",1,"ENG","Y0000034366L"
"Y0000034374L","1-FAM",1,"FAM","Y0000034374L"
"Y0000034376L","0.838653712699514-TRD",0.838653712699514,"TRD","Y0000034376L"
"Y0000034378L","0.251108647450111-HCR",0.251108647450111,"HCR","Y0000034378L"
"Y0000034380L","0.375-HOM",0.375,"HOM","Y0000034380L"
"Y0000034387L","0.133669599350742-IMM",0.133669599350742,"IMM","Y0000034387L"
"Y0000034388L","0.75-TAX",0.75,"TAX","Y0000034388L"
"Y0000034395L","0.188709677419355-TAX",0.188709677419355,"TAX","Y0000034395L"
"Y0000034402L","0.307017543859649-CSP",0.307017543859649,"CSP","Y0000034402L"
"Y0000034413L","0.166666666666667-TAX",0.166666666666667,"TAX","Y0000034413L"
"Y0000034415L","1-HOU",1,"HOU","Y0000034415L"
"Y0000034418L","0.409090909090909-MED",0.409090909090909,"MED","Y0000034418L"
"Y0000034420L","0.103243490982325-TRD",0.103243490982325,"TRD","Y0000034420L"
"Y0000034423L","1-DEF",1,"DEF","Y0000034423L"
"Y0000034424L","1-TOB",1,"TOB","Y0000034424L"
"Y0000034425L","0.0629913373585851-VET",0.0629913373585851,"VET","Y0000034425L"
"Y0000034427L","0.130517516452835-TRD",0.130517516452835,"TRD","Y0000034427L"
"Y0000034433L","NaN-WEL",NA,"WEL","Y0000034433L"
"Y0000034437L","1-DEF",1,"DEF","Y0000034437L"
"Y0000034442L","0.633333333333333-HCR",0.633333333333333,"HCR","Y0000034442L"
"Y0000034447L","0.246227709190672-TAX",0.246227709190672,"TAX","Y0000034447L"
"Y0000034452L","0.183173599890456-TAX",0.183173599890456,"TAX","Y0000034452L"
"Y0000034458L","0.183256918560544-HCR",0.183256918560544,"HCR","Y0000034458L"
"Y0000034459L","0.226908147290313-CAW",0.226908147290313,"CAW","Y0000034459L"
"Y0000034465L","NaN-WEL",NA,"WEL","Y0000034465L"
"Y0000034470L","0.666666666666667-ENV",0.666666666666667,"ENV","Y0000034470L"
"Y0000034471L","0.369514261508049-HCR",0.369514261508049,"HCR","Y0000034471L"
"Y0000034478L","0.161792983394481-TAX",0.161792983394481,"TAX","Y0000034478L"
"Y0000034482L","0.233996937212864-BUD",0.233996937212864,"BUD","Y0000034482L"
"Y0000034485L","0.155120130627478-TEC",0.155120130627478,"TEC","Y0000034485L"
"Y0000034488L","0.0792520628160766-TRU",0.0792520628160766,"TRU","Y0000034488L"
"Y0000034492L","0.075764107990881-TRD",0.075764107990881,"TRD","Y0000034492L"
"Y0000034496L","0.671641791044776-MMM",0.671641791044776,"MMM","Y0000034496L"
"Y0000034500L","0.333333333333333-NAT",0.333333333333333,"NAT","Y0000034500L"
"Y0000034501L","0.361577794010226-URB",0.361577794010226,"URB","Y0000034501L"
"Y0000034501M","0.163872354497354-TRD",0.163872354497354,"TRD","Y0000034501M"
"Y0000034504L","NaN-WEL",NA,"WEL","Y0000034504L"
"Y0000034521L","NaN-WEL",NA,"WEL","Y0000034521L"
"Y0000034531L","0.103227870080971-TRD",0.103227870080971,"TRD","Y0000034531L"
"Y0000034533L","0.25-TRD",0.25,"TRD","Y0000034533L"
"Y0000034537L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000034537L"
"Y0000034539L","0.454545454545455-ENG",0.454545454545455,"ENG","Y0000034539L"
"Y0000034548L","0.176623376623377-TRU",0.176623376623377,"TRU","Y0000034548L"
"Y0000034549L","0.111111111111111-TAX",0.111111111111111,"TAX","Y0000034549L"
"Y0000034554L","1-HCR",1,"HCR","Y0000034554L"
"Y0000034558L","NaN-WEL",NA,"WEL","Y0000034558L"
"Y0000034559L","NaN-WEL",NA,"WEL","Y0000034559L"
"Y0000034563L","NaN-WEL",NA,"WEL","Y0000034563L"
"Y0000034573L","0.515545914678236-BUD",0.515545914678236,"BUD","Y0000034573L"
"Y0000034581L","0.265524995675489-BUD",0.265524995675489,"BUD","Y0000034581L"
"Y0000034584L","0.248847926267281-TAX",0.248847926267281,"TAX","Y0000034584L"
"Y0000034588L","0.5-TEC",0.5,"TEC","Y0000034588L"
"Y0000034589L","0.292253521126761-ENV",0.292253521126761,"ENV","Y0000034589L"
"Y0000034602L","0.0333333333333333-UTI",0.0333333333333333,"UTI","Y0000034602L"
"Y0000034605L","NaN-WEL",NA,"WEL","Y0000034605L"
"Y0000034606L","0.430283936961765-POS",0.430283936961765,"POS","Y0000034606L"
"Y0000034609L","0.5-EDU",0.5,"EDU","Y0000034609L"
"Y0000034614L","1-DEF",1,"DEF","Y0000034614L"
"Y0000034624L","0.5-FOO",0.5,"FOO","Y0000034624L"
"Y0000034626L","0.181453841901603-ENG",0.181453841901603,"ENG","Y0000034626L"
"Y0000034632L","1-TEC",1,"TEC","Y0000034632L"
"Y0000034634L","0.0709756473273677-TRF",0.0709756473273677,"TRF","Y0000034634L"
"Y0000034638L","0.571428571428571-HCR",0.571428571428571,"HCR","Y0000034638L"
"Y0000034639L","0.142857142857143-TRD",0.142857142857143,"TRD","Y0000034639L"
"Y0000034641L","0.16170766731442-TRD",0.16170766731442,"TRD","Y0000034641L"
"Y0000034643L","0.50662750414219-MMM",0.50662750414219,"MMM","Y0000034643L"
"Y0000034648L","0.492396142433234-EDU",0.492396142433234,"EDU","Y0000034648L"
"Y0000034649L","0.166666666666667-TOR",0.166666666666667,"TOR","Y0000034649L"
"Y0000034660L","0.255845737646667-HCR",0.255845737646667,"HCR","Y0000034660L"
"Y0000034664L","NaN-WEL",NA,"WEL","Y0000034664L"
"Y0000034675L","0.5-SMB",0.5,"SMB","Y0000034675L"
"Y0000034696L","0.285714285714286-BUD",0.285714285714286,"BUD","Y0000034696L"
"Y0000034697L","0.0545884888311236-WEL",0.0545884888311236,"WEL","Y0000034697L"
"Y0000034698L","0.441901755770369-FIN",0.441901755770369,"FIN","Y0000034698L"
"Y0000034701L","1-LBR",1,"LBR","Y0000034701L"
"Y0000034702L","1-ENG",1,"ENG","Y0000034702L"
"Y0000034709L","0.432347670250896-TAX",0.432347670250896,"TAX","Y0000034709L"
"Y0000034710L","0.265544041450777-TAX",0.265544041450777,"TAX","Y0000034710L"
"Y0000034712L","1-GOV",1,"GOV","Y0000034712L"
"Y0000034714L","1-BUD",1,"BUD","Y0000034714L"
"Y0000034715L","0.214246704648889-TAX",0.214246704648889,"TAX","Y0000034715L"
"Y0000034728L","NaN-WEL",NA,"WEL","Y0000034728L"
"Y0000034729L","0.272727272727273-EDU",0.272727272727273,"EDU","Y0000034729L"
"Y0000034731L","0.722132781720464-TAX",0.722132781720464,"TAX","Y0000034731L"
"Y0000034732L","0.144961820014661-RET",0.144961820014661,"RET","Y0000034732L"
"Y0000034735L","0.5-REL",0.5,"REL","Y0000034735L"
"Y0000034744L","0.215509176850439-TAX",0.215509176850439,"TAX","Y0000034744L"
"Y0000034752L","0.366197183098592-VET",0.366197183098592,"VET","Y0000034752L"
"Y0000034757L","0.154761904761905-TRD",0.154761904761905,"TRD","Y0000034757L"
"Y0000034757M","0.154761904761905-TRD",0.154761904761905,"TRD","Y0000034757M"
"Y0000034759L","0.35264367816092-ENG",0.35264367816092,"ENG","Y0000034759L"
"Y0000034761L","0.39039039039039-FOO",0.39039039039039,"FOO","Y0000034761L"
"Y0000034764L","0.164706834390871-IMM",0.164706834390871,"IMM","Y0000034764L"
"Y0000034774L","1-FAM",1,"FAM","Y0000034774L"
"Y0000034778L","0.125-TRD",0.125,"TRD","Y0000034778L"
"Y0000034782L","0.107376691826334-AGR",0.107376691826334,"AGR","Y0000034782L"
"Y0000034783L","0.0256253363306848-TRU",0.0256253363306848,"TRU","Y0000034783L"
"Y0000034786L","0.5-RET",0.5,"RET","Y0000034786L"
"Y0000034794L","NaN-WEL",NA,"WEL","Y0000034794L"
"Y0000034822L","0.722710739619484-TAX",0.722710739619484,"TAX","Y0000034822L"
"Y0000034825L","0.25-UTI",0.25,"UTI","Y0000034825L"
"Y0000034831L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000034831L"
"Y0000034839L","1-FOR",1,"FOR","Y0000034839L"
"Y0000034841L","0.317589175891759-BUD",0.317589175891759,"BUD","Y0000034841L"
"Y0000034848L","1-DEF",1,"DEF","Y0000034848L"
"Y0000034849L","0.164444444444444-TRA",0.164444444444444,"TRA","Y0000034849L"
"Y0000034856L","1-CAW",1,"CAW","Y0000034856L"
"Y0000034857L","0.054204077155706-TRD",0.054204077155706,"TRD","Y0000034857L"
"Y0000034862L","0.108530628607767-TRD",0.108530628607767,"TRD","Y0000034862L"
"Y0000034863L","0.125-TRD",0.125,"TRD","Y0000034863L"
"Y0000034873L","1-DEF",1,"DEF","Y0000034873L"
"Y0000034875L","0.5-TRD",0.5,"TRD","Y0000034875L"
"Y0000034878L","1-HCR",1,"HCR","Y0000034878L"
"Y0000034880L","0.657534246575342-ENG",0.657534246575342,"ENG","Y0000034880L"
"Y0000034881L","NaN-WEL",NA,"WEL","Y0000034881L"
"Y0000034882L","0.641025641025641-INT",0.641025641025641,"INT","Y0000034882L"
"Y0000034883L","0.130568497236643-HCR",0.130568497236643,"HCR","Y0000034883L"
"Y0000034884L","0.209915611814346-ENG",0.209915611814346,"ENG","Y0000034884L"
"Y0000034890L","1-EDU",1,"EDU","Y0000034890L"
"Y0000034896L","0.111111111111111-TRD",0.111111111111111,"TRD","Y0000034896L"
"Y0000034897L","1-DEF",1,"DEF","Y0000034897L"
"Y0000034913L","0.976744186046512-GOV",0.976744186046512,"GOV","Y0000034913L"
"Y0000034916L","0.0909090909090909-TRD",0.0909090909090909,"TRD","Y0000034916L"
"Y0000034924L","1-MMM",1,"MMM","Y0000034924L"
"Y0000034926L","0.0501430002499034-UNM",0.0501430002499034,"UNM","Y0000034926L"
"Y0000034927L","0.171236171236171-INT",0.171236171236171,"INT","Y0000034927L"
"Y0000034928L","1-GOV",1,"GOV","Y0000034928L"
"Y0000034932L","1-DEF",1,"DEF","Y0000034932L"
"Y0000034933L","1-CPI",1,"CPI","Y0000034933L"
"Y0000034935L","0.16069984986719-TRD",0.16069984986719,"TRD","Y0000034935L"
"Y0000034940L","0.100094204114246-TAX",0.100094204114246,"TAX","Y0000034940L"
"Y0000034942L","0.5-FIN",0.5,"FIN","Y0000034942L"
"Y0000034944L","0.875-FIN",0.875,"FIN","Y0000034944L"
"Y0000034946L","0.54896998328834-BUD",0.54896998328834,"BUD","Y0000034946L"
"Y0000034948L","0.566666666666667-DEF",0.566666666666667,"DEF","Y0000034948L"
"Y0000034949L","0.334075723830735-FOR",0.334075723830735,"FOR","Y0000034949L"
"Y0000034951L","0.333333333333333-VET",0.333333333333333,"VET","Y0000034951L"
"Y0000034952L","0.523809523809524-FIN",0.523809523809524,"FIN","Y0000034952L"
"Y0000034955L","0.504828123821259-TRA",0.504828123821259,"TRA","Y0000034955L"
"Y0000034960L","1-AGR",1,"AGR","Y0000034960L"
"Y0000034967L","0.644444444444444-INS",0.644444444444444,"INS","Y0000034967L"
"Y0000034968L","0.458333333333333-AVI",0.458333333333333,"AVI","Y0000034968L"
"Y0000034971L","0.142857142857143-VET",0.142857142857143,"VET","Y0000034971L"
"Y0000034974L","1-BUD",1,"BUD","Y0000034974L"
"Y0000034977L","0.0626704033224679-WEL",0.0626704033224679,"WEL","Y0000034977L"
"Y0000034981L","1-CPI",1,"CPI","Y0000034981L"
"Y0000034985L","0.292096219931271-TAX",0.292096219931271,"TAX","Y0000034985L"
"Y0000034990L","0.769230769230769-GOV",0.769230769230769,"GOV","Y0000034990L"
"Y0000034992L","0.0476190476190476-TRF",0.0476190476190476,"TRF","Y0000034992L"
"Y0000034994L","0.406666666666667-BUD",0.406666666666667,"BUD","Y0000034994L"
"Y0000034995L","1-BAN",1,"BAN","Y0000034995L"
"Y0000034996L","0.559597197227859-MMM",0.559597197227859,"MMM","Y0000034996L"
"Y0000034997L","0.382113821138211-TRF",0.382113821138211,"TRF","Y0000034997L"
"Y0000034999L","0.266666666666667-FOO",0.266666666666667,"FOO","Y0000034999L"
"Y0000035005L","0.373027613412229-BUD",0.373027613412229,"BUD","Y0000035005L"
