"","share_issue","share","issue","lobbyist"
"Y0000043365L","0.280095708090325-HCR",0.280095708090325,"HCR","Y0000043365L"
"Y0000043366L","1-FIN",1,"FIN","Y0000043366L"
"Y0000043368L","0.146248382096645-TRD",0.146248382096645,"TRD","Y0000043368L"
"Y0000043369L","1-LAW",1,"LAW","Y0000043369L"
"Y0000043370L","1-BUD",1,"BUD","Y0000043370L"
"Y0000043371L","0.289951683131933-HCR",0.289951683131933,"HCR","Y0000043371L"
"Y0000043372L","0.5-HCR",0.5,"HCR","Y0000043372L"
"Y0000043373L","0.483443708609271-FIN",0.483443708609271,"FIN","Y0000043373L"
"Y0000043375L","0.485875373211261-MMM",0.485875373211261,"MMM","Y0000043375L"
"Y0000043376L","1-MMM",1,"MMM","Y0000043376L"
"Y0000043378L","1-GAM",1,"GAM","Y0000043378L"
"Y0000043379L","0.5-LBR",0.5,"LBR","Y0000043379L"
"Y0000043380L","1-LBR",1,"LBR","Y0000043380L"
"Y0000043381L","NaN-WEL",NA,"WEL","Y0000043381L"
"Y0000043382L","0.306306306306306-TEC",0.306306306306306,"TEC","Y0000043382L"
"Y0000043383L","NaN-WEL",NA,"WEL","Y0000043383L"
"Y0000043384L","0.361099716969523-FOO",0.361099716969523,"FOO","Y0000043384L"
"Y0000043385L","1-BUD",1,"BUD","Y0000043385L"
"Y0000043386L","0.233738113490377-MED",0.233738113490377,"MED","Y0000043386L"
"Y0000043387L","0.75-HCR",0.75,"HCR","Y0000043387L"
"Y0000043388L","0.279876252073627-DEF",0.279876252073627,"DEF","Y0000043388L"
"Y0000043389L","0.9375-ENV",0.9375,"ENV","Y0000043389L"
"Y0000043390L","1-GOV",1,"GOV","Y0000043390L"
"Y0000043391L","NaN-WEL",NA,"WEL","Y0000043391L"
"Y0000043392L","0.75-DEF",0.75,"DEF","Y0000043392L"
"Y0000043393L","0.0909090909090909-TRD",0.0909090909090909,"TRD","Y0000043393L"
"Y0000043394L","1-TRD",1,"TRD","Y0000043394L"
"Y0000043395L","NaN-WEL",NA,"WEL","Y0000043395L"
"Y0000043396L","1-ENG",1,"ENG","Y0000043396L"
"Y0000043397L","NaN-WEL",NA,"WEL","Y0000043397L"
"Y0000043398L","0.135920851986122-LBR",0.135920851986122,"LBR","Y0000043398L"
"Y0000043399L","0.2-HCR",0.2,"HCR","Y0000043399L"
"Y0000043400L","0.125-URB",0.125,"URB","Y0000043400L"
"Y0000043401L","0.571428571428571-EDU",0.571428571428571,"EDU","Y0000043401L"
"Y0000043403L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000043403L"
"Y0000043404L","0.25-TRA",0.25,"TRA","Y0000043404L"
"Y0000043405L","0.115103237212614-TRA",0.115103237212614,"TRA","Y0000043405L"
"Y0000043406L","0.0911059551430781-TRD",0.0911059551430781,"TRD","Y0000043406L"
"Y0000043407L","0.353658769583493-CPT",0.353658769583493,"CPT","Y0000043407L"
"Y0000043408L","1-TAX",1,"TAX","Y0000043408L"
"Y0000043409L","0.5-LAW",0.5,"LAW","Y0000043409L"
"Y0000043410L","0.0403951689583319-TAX",0.0403951689583319,"TAX","Y0000043410L"
"Y0000043411L","0.583333333333333-HCR",0.583333333333333,"HCR","Y0000043411L"
"Y0000043412L","0.676923076923077-UTI",0.676923076923077,"UTI","Y0000043412L"
"Y0000043413L","0.277187706061861-MMM",0.277187706061861,"MMM","Y0000043413L"
"Y0000043414L","0.121902000909504-TRD",0.121902000909504,"TRD","Y0000043414L"
"Y0000043415L","0.345952928669769-BUD",0.345952928669769,"BUD","Y0000043415L"
"Y0000043417L","0.333333333333333-TAX",0.333333333333333,"TAX","Y0000043417L"
"Y0000043418L","0.416666666666667-NAT",0.416666666666667,"NAT","Y0000043418L"
"Y0000043419L","1-DEF",1,"DEF","Y0000043419L"
"Y0000043420L","0.295063789708023-TRD",0.295063789708023,"TRD","Y0000043420L"
"Y0000043421L","0.260606060606061-BUD",0.260606060606061,"BUD","Y0000043421L"
"Y0000043422L","0.0417291888814951-TAX",0.0417291888814951,"TAX","Y0000043422L"
"Y0000043423L","1-DEF",1,"DEF","Y0000043423L"
"Y0000043424L","1-MMM",1,"MMM","Y0000043424L"
"Y0000043425L","1-HCR",1,"HCR","Y0000043425L"
"Y0000043426L","0.555555555555556-URB",0.555555555555556,"URB","Y0000043426L"
"Y0000043427L","0.885714285714286-SMB",0.885714285714286,"SMB","Y0000043427L"
"Y0000043428L","0.1-TAX",0.1,"TAX","Y0000043428L"
"Y0000043429L","0.353698746646705-BUD",0.353698746646705,"BUD","Y0000043429L"
"Y0000043430L","1-BUD",1,"BUD","Y0000043430L"
"Y0000043431L","1-VET",1,"VET","Y0000043431L"
"Y0000043432L","0.505224413555913-FIN",0.505224413555913,"FIN","Y0000043432L"
"Y0000043433L","NaN-WEL",NA,"WEL","Y0000043433L"
"Y0000043434L","1-TRD",1,"TRD","Y0000043434L"
"Y0000043435L","NaN-WEL",NA,"WEL","Y0000043435L"
"Y0000043436L","1-IMM",1,"IMM","Y0000043436L"
"Y0000043437L","0.5-HCR",0.5,"HCR","Y0000043437L"
"Y0000043438L","0.25-MMM",0.25,"MMM","Y0000043438L"
"Y0000043439L","0.0893451432383352-TRD",0.0893451432383352,"TRD","Y0000043439L"
"Y0000043440L","0.358392101551481-FIN",0.358392101551481,"FIN","Y0000043440L"
"Y0000043441L","1-BUD",1,"BUD","Y0000043441L"
"Y0000043442L","0.337394564198688-FIN",0.337394564198688,"FIN","Y0000043442L"
"Y0000043443L","0.390243902439024-DEF",0.390243902439024,"DEF","Y0000043443L"
"Y0000043445L","1-BUD",1,"BUD","Y0000043445L"
"Y0000043446L","0.583333333333333-TEC",0.583333333333333,"TEC","Y0000043446L"
"Y0000043447L","0.176923076923077-WEL",0.176923076923077,"WEL","Y0000043447L"
"Y0000043448L","1-CHM",1,"CHM","Y0000043448L"
"Y0000043449L","1-TAX",1,"TAX","Y0000043449L"
"Y0000043451L","1-BUD",1,"BUD","Y0000043451L"
"Y0000043452L","0.602084018633079-HCR",0.602084018633079,"HCR","Y0000043452L"
"Y0000043454L","0.381818181818182-SMB",0.381818181818182,"SMB","Y0000043454L"
"Y0000043455L","NaN-WEL",NA,"WEL","Y0000043455L"
"Y0000043457L","NaN-WEL",NA,"WEL","Y0000043457L"
"Y0000043458L","0.486486486486487-DEF",0.486486486486487,"DEF","Y0000043458L"
"Y0000043459L","0.506830052229811-BUD",0.506830052229811,"BUD","Y0000043459L"
"Y0000043460L","NaN-WEL",NA,"WEL","Y0000043460L"
"Y0000043461L","0.718246522203487-TAX",0.718246522203487,"TAX","Y0000043461L"
"Y0000043462L","1-ALC",1,"ALC","Y0000043462L"
"Y0000043463L","NaN-WEL",NA,"WEL","Y0000043463L"
"Y0000043464L","0.131093299062049-TRD",0.131093299062049,"TRD","Y0000043464L"
"Y0000043465L","0.5-FOO",0.5,"FOO","Y0000043465L"
"Y0000043466L","0.0932644651922104-TRA",0.0932644651922104,"TRA","Y0000043466L"
"Y0000043468L","0.5-BUD",0.5,"BUD","Y0000043468L"
"Y0000043469L","1-HCR",1,"HCR","Y0000043469L"
"Y0000043470L","0.19798970067039-FUE",0.19798970067039,"FUE","Y0000043470L"
"Y0000043472L","1-BUD",1,"BUD","Y0000043472L"
"Y0000043473L","0.333333333333333-MMM",0.333333333333333,"MMM","Y0000043473L"
"Y0000043474L","0.0949764747762651-TAX",0.0949764747762651,"TAX","Y0000043474L"
"Y0000043475L","NaN-WEL",NA,"WEL","Y0000043475L"
"Y0000043476L","0.849114703618168-TAX",0.849114703618168,"TAX","Y0000043476L"
"Y0000043477L","0.5-LAW",0.5,"LAW","Y0000043477L"
"Y0000043478L","1-TAX",1,"TAX","Y0000043478L"
"Y0000043479L","0.025-UNM",0.025,"UNM","Y0000043479L"
"Y0000043480L","NaN-WEL",NA,"WEL","Y0000043480L"
"Y0000043481L","0.782608695652174-BUD",0.782608695652174,"BUD","Y0000043481L"
"Y0000043482L","1-HCR",1,"HCR","Y0000043482L"
"Y0000043483L","1-COM",1,"COM","Y0000043483L"
"Y0000043484L","NaN-WEL",NA,"WEL","Y0000043484L"
"Y0000043485L","1-MMM",1,"MMM","Y0000043485L"
"Y0000043486L","1-BUD",1,"BUD","Y0000043486L"
"Y0000043487L","0.166666666666667-TAX",0.166666666666667,"TAX","Y0000043487L"
"Y0000043488L","0.571428571428571-EDU",0.571428571428571,"EDU","Y0000043488L"
"Y0000043489L","0.44007858546169-FIN",0.44007858546169,"FIN","Y0000043489L"
"Y0000043490L","0.2-TRD",0.2,"TRD","Y0000043490L"
"Y0000043491L","0.340425531914894-HCR",0.340425531914894,"HCR","Y0000043491L"
"Y0000043492L","NaN-WEL",NA,"WEL","Y0000043492L"
"Y0000043493L","0.5-NAT",0.5,"NAT","Y0000043493L"
"Y0000043495L","1-ENV",1,"ENV","Y0000043495L"
"Y0000043497L","1-AVI",1,"AVI","Y0000043497L"
"Y0000043498L","1-IND",1,"IND","Y0000043498L"
"Y0000043499L","0.0714285714285714-TRF",0.0714285714285714,"TRF","Y0000043499L"
"Y0000043500L","0.572815533980582-DEF",0.572815533980582,"DEF","Y0000043500L"
"Y0000043501L","1-IMM",1,"IMM","Y0000043501L"
"Y0000043505L","1-BUD",1,"BUD","Y0000043505L"
